Country,ISO3 Code
Albania,ALB
Andorra,AND
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia & Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Kosovo,RKS
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
San Marino,SMR
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
Vatican City,VAT
